0.0314159 0.517968 -0.0650785  2.38834 -0.0418452  0.506196 -0.0637019  0.344239 -0.0477799  -0.625855 -1.0641  0.50443 -0.100411  -0.622611 -1.07469  2.49737 -0.0988566  -0.302052 -0.126896  5.20099 -0.0504074  -0.301898 -0.126292  5.20602 -0.04748  
24.3473 0.00329339 -0.0401431  2.95703 -0.317516  0.00332032 -0.0400727  0.933503 -0.357696  3.87138e-05 -0.0403697  0.96646 -0.343389  5.44959e-05 -0.0403763  2.95679 -0.339315  -0.0032221 -0.0401068  4.98361 -0.345104  -0.00320441 -0.0400999  4.97349 -0.351017  
24.4102 0.00327714 -0.0400442  2.95705 -0.316825  0.00330388 -0.0399744  0.933609 -0.35682  3.8637e-05 -0.0402692  0.966437 -0.342581  5.43176e-05 -0.0402757  2.95678 -0.338526  -0.00320597 -0.0400082  4.9835 -0.344287  -0.0031884 -0.0400015  4.9734 -0.350172  
24.473 0.003261 -0.0399457  2.95707 -0.316137  0.00328756 -0.0398766  0.933715 -0.355947  3.85595e-05 -0.0401692  0.966414 -0.341776  5.41397e-05 -0.0401757  2.95677 -0.33774  -0.00318995 -0.0399102  4.98339 -0.343474  -0.0031725 -0.0399035  4.97331 -0.349332  
24.5358 0.00324499 -0.0398477  2.95709 -0.315452  0.00327135 -0.0397793  0.933819 -0.355079  3.84815e-05 -0.0400697  0.966392 -0.340975  5.39622e-05 -0.0400761  2.95676 -0.336957  -0.00317405 -0.0398126  4.98329 -0.342665  -0.00315672 -0.039806  4.97322 -0.348495  
24.5987 0.00322909 -0.0397502  2.95711 -0.31477  0.00325527 -0.0396825  0.933923 -0.354215  3.8403e-05 -0.0399706  0.96637 -0.340177  5.37851e-05 -0.039977  2.95675 -0.336179  -0.00315826 -0.0397155  4.98319 -0.34186  -0.00314106 -0.039709  4.97313 -0.347662  
24.6615 0.0032133 -0.0396532  2.95714 -0.314091  0.0032393 -0.0395861  0.934026 -0.353355  3.83239e-05 -0.0398721  0.966348 -0.339383  5.36084e-05 -0.0398783  2.95674 -0.335403  -0.0031426 -0.0396189  4.98308 -0.341059  -0.00312551 -0.0396124  4.97305 -0.346833  
24.7243 0.00319764 -0.0395566  2.95716 -0.313414  0.00322345 -0.0394901  0.934129 -0.352499  3.82444e-05 -0.039774  0.966326 -0.338593  5.34322e-05 -0.0397802  2.95674 -0.334631  -0.00312705 -0.0395227  4.98298 -0.340261  -0.00311008 -0.0395163  4.97296 -0.346007  
24.7872 0.00318208 -0.0394605  2.95718 -0.312741  0.00320771 -0.0393947  0.93423 -0.351648  3.81643e-05 -0.0396764  0.966304 -0.337807  5.32564e-05 -0.0396825  2.95673 -0.333863  -0.00311161 -0.039427  4.98288 -0.339466  -0.00309476 -0.0394206  4.97287 -0.345186  
24.85 0.00316663 -0.0393649  2.9572 -0.31207  0.00319209 -0.0392996  0.934331 -0.3508  3.80838e-05 -0.0395792  0.966282 -0.337024  5.3081e-05 -0.0395853  2.95672 -0.333098  -0.00309629 -0.0393317  4.98278 -0.338676  -0.00307955 -0.0393254  4.97279 -0.344369  
24.9128 0.0031513 -0.0392697  2.95722 -0.311402  0.00317658 -0.039205  0.934431 -0.349956  3.80028e-05 -0.0394825  0.966261 -0.336244  5.2906e-05 -0.0394886  2.95671 -0.332337  -0.00308108 -0.0392369  4.98268 -0.337889  -0.00306445 -0.0392306  4.9727 -0.343555  
24.9757 0.00313608 -0.0391749  2.95723 -0.310737  0.00316118 -0.0391109  0.93453 -0.349117  3.79213e-05 -0.0393863  0.96624 -0.335469  5.27315e-05 -0.0393923  2.9567 -0.331579  -0.00306598 -0.0391425  4.98258 -0.337106  -0.00304947 -0.0391363  4.97262 -0.342745  
25.0385 0.00312096 -0.0390806  2.95725 -0.310075  0.00314589 -0.0390172  0.934629 -0.348281  3.78394e-05 -0.0392906  0.966219 -0.334696  5.25575e-05 -0.0392965  2.95669 -0.330824  -0.00305099 -0.0390486  4.98248 -0.336326  -0.00303459 -0.0390424  4.97254 -0.341939  
25.1013 0.00310595 -0.0389868  2.95727 -0.309416  0.00313071 -0.0389239  0.934727 -0.347449  3.77572e-05 -0.0391953  0.966198 -0.333927  5.23839e-05 -0.0392012  2.95669 -0.330073  -0.00303611 -0.0389551  4.98238 -0.33555  -0.00301982 -0.038949  4.97245 -0.341136  
25.1642 0.00309105 -0.0388933  2.95729 -0.308759  0.00311564 -0.0388311  0.934824 -0.346621  3.76745e-05 -0.0391005  0.966177 -0.333162  5.22108e-05 -0.0391063  2.95668 -0.329325  -0.00302134 -0.038862  4.98229 -0.334777  -0.00300515 -0.038856  4.97237 -0.340338  
25.227 0.00307626 -0.0388004  2.95731 -0.308105  0.00310067 -0.0387387  0.93492 -0.345797  3.75915e-05 -0.0390061  0.966156 -0.3324  5.20381e-05 -0.0390119  2.95667 -0.328581  -0.00300667 -0.0387694  4.98219 -0.334008  -0.0029906 -0.0387634  4.97229 -0.339543  
25.2898 0.00306157 -0.0387078  2.95733 -0.307454  0.00308582 -0.0386467  0.935016 -0.344977  3.7508e-05 -0.0389122  0.966136 -0.331642  5.18659e-05 -0.0389179  2.95666 -0.327839  -0.00299211 -0.0386772  4.98209 -0.333242  -0.00297614 -0.0386713  4.97221 -0.338751  
25.3527 0.00304698 -0.0386157  2.95735 -0.306805  0.00307107 -0.0385552  0.935111 -0.344161  3.74243e-05 -0.0388187  0.966115 -0.330886  5.16942e-05 -0.0388243  2.95666 -0.327102  -0.00297765 -0.0385854  4.982 -0.332479  -0.00296179 -0.0385796  4.97213 -0.337963  
25.4155 0.0030325 -0.038524  2.95737 -0.306159  0.00305642 -0.0384641  0.935205 -0.343348  3.73402e-05 -0.0387256  0.966095 -0.330135  5.1523e-05 -0.0387312  2.95665 -0.326367  -0.0029633 -0.0384941  4.98191 -0.331721  -0.00294754 -0.0384883  4.97205 -0.337179  
25.4783 0.00301812 -0.0384328  2.95739 -0.305516  0.00304187 -0.0383734  0.935298 -0.342539  3.72558e-05 -0.038633  0.966075 -0.329386  5.13522e-05 -0.0386386  2.95664 -0.325635  -0.00294905 -0.0384031  4.98181 -0.330965  -0.0029334 -0.0383974  4.97197 -0.336399  
25.5411 0.00300384 -0.0383419  2.9574 -0.304875  0.00302743 -0.0382831  0.935391 -0.341734  3.71711e-05 -0.0385408  0.966055 -0.328641  5.11819e-05 -0.0385464  2.95663 -0.324907  -0.00293491 -0.0383126  4.98172 -0.330213  -0.00291935 -0.038307  4.97189 -0.335622  
25.604 0.00298966 -0.0382515  2.95742 -0.304237  0.00301309 -0.0381932  0.935483 -0.340933  3.70861e-05 -0.0384491  0.966036 -0.3279  5.10122e-05 -0.0384546  2.95663 -0.324182  -0.00292086 -0.0382226  4.98163 -0.329464  -0.00290541 -0.0382169  4.97181 -0.334848  
25.6668 0.00297557 -0.0381615  2.95744 -0.303602  0.00299885 -0.0381038  0.935575 -0.340135  3.70008e-05 -0.0383578  0.966016 -0.327161  5.08429e-05 -0.0383632  2.95662 -0.32346  -0.00290691 -0.0381329  4.98154 -0.328719  -0.00289156 -0.0381273  4.97174 -0.334078  
25.7296 0.00296159 -0.038072  2.95746 -0.302969  0.00298471 -0.0380147  0.935666 -0.339341  3.69152e-05 -0.0382669  0.965997 -0.326426  5.06741e-05 -0.0382723  2.95661 -0.322742  -0.00289306 -0.0380436  4.98145 -0.327977  -0.00287782 -0.0380381  4.97166 -0.333312  
25.7925 0.00294771 -0.0379828  2.95748 -0.302339  0.00297067 -0.0379261  0.935756 -0.338551  3.68294e-05 -0.0381764  0.965977 -0.325694  5.05058e-05 -0.0381818  2.9566 -0.322026  -0.00287931 -0.0379548  4.98135 -0.327238  -0.00286416 -0.0379493  4.97158 -0.332549  
25.8553 0.00293392 -0.037894  2.95749 -0.301712  0.00295673 -0.0378378  0.935845 -0.337764  3.67434e-05 -0.0380864  0.965958 -0.324966  5.03381e-05 -0.0380917  2.9566 -0.321314  -0.00286566 -0.0378663  4.98127 -0.326503  -0.00285061 -0.0378609  4.97151 -0.331789  
25.9181 0.00292022 -0.0378057  2.95751 -0.301087  0.00294288 -0.03775  0.935934 -0.336981  3.66571e-05 -0.0379968  0.965939 -0.32424  5.01708e-05 -0.038002  2.95659 -0.320604  -0.00285211 -0.0377783  4.98118 -0.32577  -0.00283715 -0.0377729  4.97143 -0.331033  
25.981 0.00290662 -0.0377177  2.95753 -0.300464  0.00292913 -0.0376626  0.936022 -0.336202  3.65706e-05 -0.0379076  0.96592 -0.323518  5.00041e-05 -0.0379127  2.95658 -0.319898  -0.00283864 -0.0376906  4.98109 -0.325041  -0.00282378 -0.0376853  4.97136 -0.33028  
26.0438 0.00289312 -0.0376302  2.95755 -0.299844  0.00291547 -0.0375755  0.93611 -0.335426  3.64839e-05 -0.0378188  0.965901 -0.322799  4.98379e-05 -0.0378239  2.95657 -0.319195  -0.00282528 -0.0376034  4.981 -0.324316  -0.00281051 -0.0375981  4.97128 -0.329531  
26.1066 0.0028797 -0.0375431  2.95756 -0.299227  0.00290191 -0.0374889  0.936197 -0.334653  3.63971e-05 -0.0377304  0.965883 -0.322083  4.96722e-05 -0.0377355  2.95657 -0.318495  -0.002812 -0.0375165  4.98091 -0.323593  -0.00279733 -0.0375113  4.97121 -0.328785  
26.1695 0.00286638 -0.0374563  2.95758 -0.298612  0.00288845 -0.0374026  0.936283 -0.333884  3.631e-05 -0.0376424  0.965864 -0.32137  4.9507e-05 -0.0376474  2.95656 -0.317798  -0.00279882 -0.0374301  4.98083 -0.322874  -0.00278425 -0.0374249  4.97114 -0.328042  
26.2323 0.00285315 -0.03737  2.9576 -0.298  0.00287507 -0.0373167  0.936369 -0.333119  3.62228e-05 -0.0375548  0.965846 -0.32066  4.93423e-05 -0.0375598  2.95655 -0.317104  -0.00278574 -0.037344  4.98074 -0.322157  -0.00277125 -0.0373389  4.97107 -0.327302  
26.2951 0.00284001 -0.037284  2.95761 -0.29739  0.00286179 -0.0372312  0.936454 -0.332357  3.61354e-05 -0.0374677  0.965828 -0.319954  4.91782e-05 -0.0374726  2.95655 -0.316413  -0.00277274 -0.0372583  4.98066 -0.321444  -0.00275834 -0.0372533  4.97099 -0.326566  
26.358 0.00282696 -0.0371984  2.95763 -0.296782  0.0028486 -0.0371461  0.936538 -0.331598  3.60479e-05 -0.0373809  0.96581 -0.31925  4.90146e-05 -0.0373858  2.95654 -0.315725  -0.00275983 -0.037173  4.98057 -0.320734  -0.00274553 -0.037168  4.97092 -0.325833  
26.4208 0.002814 -0.0371132  2.95765 -0.296177  0.00283549 -0.0370614  0.936622 -0.330843  3.59602e-05 -0.0372945  0.965792 -0.318549  4.88515e-05 -0.0372994  2.95653 -0.315039  -0.00274701 -0.0370881  4.98049 -0.320027  -0.0027328 -0.0370831  4.97085 -0.325104  
26.4836 0.00280113 -0.0370284  2.95766 -0.295575  0.00282248 -0.0369771  0.936705 -0.330091  3.58724e-05 -0.0372085  0.965774 -0.317852  4.8689e-05 -0.0372133  2.95653 -0.314357  -0.00273428 -0.0370036  4.98041 -0.319323  -0.00272016 -0.0369986  4.97078 -0.324377  
26.5465 0.00278835 -0.036944  2.95768 -0.294974  0.00280956 -0.0368931  0.936788 -0.329343  3.57845e-05 -0.0371229  0.965756 -0.317157  4.8527e-05 -0.0371277  2.95652 -0.313678  -0.00272164 -0.0369194  4.98032 -0.318622  -0.0027076 -0.0369145  4.97071 -0.323654  
26.6093 0.00277565 -0.0368599  2.9577 -0.294377  0.00279672 -0.0368095  0.93687 -0.328598  3.56965e-05 -0.0370377  0.965739 -0.316466  4.83656e-05 -0.0370424  2.95651 -0.313001  -0.00270909 -0.0368356  4.98024 -0.317924  -0.00269513 -0.0368308  4.97064 -0.322934  
26.6721 0.00276303 -0.0367763  2.95771 -0.293781  0.00278397 -0.0367263  0.936952 -0.327856  3.56084e-05 -0.0369529  0.965721 -0.315777  4.82047e-05 -0.0369576  2.95651 -0.312328  -0.00269662 -0.0367522  4.98016 -0.31723  -0.00268275 -0.0367474  4.97057 -0.322217  
26.735 0.00275051 -0.036693  2.95773 -0.293188  0.00277131 -0.0366434  0.937033 -0.327118  3.55202e-05 -0.0368684  0.965704 -0.315092  4.80444e-05 -0.0368731  2.9565 -0.311657  -0.00268423 -0.0366692  4.98008 -0.316538  -0.00267045 -0.0366644  4.97051 -0.321503  
26.7978 0.00273806 -0.03661  2.95774 -0.292597  0.00275873 -0.0365609  0.937113 -0.326382  3.54319e-05 -0.0367844  0.965687 -0.314409  4.78846e-05 -0.036789  2.95649 -0.310989  -0.00267193 -0.0365865  4.98 -0.315849  -0.00265824 -0.0365818  4.97044 -0.320792  
26.8606 0.0027257 -0.0365275  2.95776 -0.292009  0.00274623 -0.0364788  0.937193 -0.32565  3.53436e-05 -0.0367007  0.96567 -0.313729  4.77253e-05 -0.0367053  2.95649 -0.310324  -0.00265972 -0.0365042  4.97992 -0.315163  -0.00264611 -0.0364995  4.97037 -0.320085  
26.9234 0.00271342 -0.0364453  2.95778 -0.291423  0.00273382 -0.036397  0.937272 -0.324922  3.52552e-05 -0.0366174  0.965653 -0.313052  4.75666e-05 -0.0366219  2.95648 -0.309661  -0.00264759 -0.0364222  4.97984 -0.31448  -0.00263406 -0.0364176  4.9703 -0.31938  
26.9863 0.00270123 -0.0363634  2.95779 -0.290839  0.0027215 -0.0363156  0.937351 -0.324196  3.51667e-05 -0.0365345  0.965636 -0.312378  4.74084e-05 -0.0365389  2.95647 -0.309002  -0.00263554 -0.0363406  4.97976 -0.3138  -0.00262209 -0.0363361  4.97024 -0.318679  
27.0491 0.00268911 -0.036282  2.95781 -0.290258  0.00270925 -0.0362345  0.937429 -0.323474  3.50782e-05 -0.0364519  0.965619 -0.311707  4.72508e-05 -0.0364563  2.95647 -0.308345  -0.00262357 -0.0362594  4.97968 -0.313123  -0.0026102 -0.0362549  4.97017 -0.31798  
27.1119 0.00267708 -0.0362008  2.95782 -0.289678  0.00269709 -0.0361538  0.937506 -0.322755  3.49896e-05 -0.0363697  0.965602 -0.311039  4.70938e-05 -0.0363741  2.95646 -0.307691  -0.00261168 -0.0361785  4.97961 -0.312449  -0.0025984 -0.036174  4.97011 -0.317285  
27.1748 0.00266512 -0.0361201  2.95784 -0.289102  0.00268501 -0.0360735  0.937583 -0.322039  3.49011e-05 -0.0362879  0.965586 -0.310374  4.69373e-05 -0.0362922  2.95645 -0.30704  -0.00259987 -0.036098  4.97953 -0.311777  -0.00258667 -0.0360935  4.97004 -0.316593  
27.2376 0.00265325 -0.0360397  2.95785 -0.288527  0.00267301 -0.0359935  0.93766 -0.321326  3.48124e-05 -0.0362064  0.965569 -0.309711  4.67813e-05 -0.0362107  2.95645 -0.306391  -0.00258814 -0.0360178  4.97945 -0.311109  -0.00257502 -0.0360134  4.96998 -0.315903  
27.3004 0.00264145 -0.0359596  2.95787 -0.287955  0.00266109 -0.0359138  0.937736 -0.320616  3.47238e-05 -0.0361253  0.965553 -0.309051  4.66259e-05 -0.0361296  2.95644 -0.305746  -0.00257649 -0.035938  4.97938 -0.310443  -0.00256345 -0.0359336  4.96991 -0.315217  
27.3633 0.00262973 -0.0358799  2.95788 -0.287384  0.00264924 -0.0358345  0.937811 -0.319909  3.46352e-05 -0.0360445  0.965537 -0.308394  4.6471e-05 -0.0360488  2.95644 -0.305102  -0.00256492 -0.0358585  4.9793 -0.30978  -0.00255196 -0.0358542  4.96985 -0.314533  
27.4261 0.00261809 -0.0358005  2.9579 -0.286816  0.00263748 -0.0357556  0.937886 -0.319206  3.45465e-05 -0.0359641  0.965521 -0.30774  4.63167e-05 -0.0359684  2.95643 -0.304462  -0.00255343 -0.0357794  4.97923 -0.30912  -0.00254054 -0.0357751  4.96978 -0.313853  
27.4889 0.00260652 -0.0357215  2.95791 -0.286251  0.00262579 -0.0356769  0.937961 -0.318505  3.44578e-05 -0.0358841  0.965505 -0.307088  4.6163e-05 -0.0358883  2.95642 -0.303824  -0.00254201 -0.0357006  4.97915 -0.308462  -0.0025292 -0.0356963  4.96972 -0.313175  
27.5518 0.00259503 -0.0356429  2.95793 -0.285687  0.00261418 -0.0355986  0.938035 -0.317808  3.43692e-05 -0.0358044  0.965489 -0.306439  4.60098e-05 -0.0358085  2.95642 -0.303189  -0.00253067 -0.0356222  4.97908 -0.307808  -0.00251793 -0.0356179  4.96966 -0.3125  
27.6146 0.00258362 -0.0355645  2.95794 -0.285126  0.00260264 -0.0355207  0.938108 -0.317113  3.42806e-05 -0.0357251  0.965474 -0.305793  4.58571e-05 -0.0357292  2.95641 -0.302556  -0.0025194 -0.035544  4.97901 -0.307156  -0.00250674 -0.0355399  4.9696 -0.311828  
27.6774 0.00257228 -0.0354865  2.95796 -0.284567  0.00259118 -0.0354431  0.938181 -0.316421  3.41919e-05 -0.0356461  0.965458 -0.305149  4.5705e-05 -0.0356501  2.95641 -0.301926  -0.00250821 -0.0354663  4.97893 -0.306507  -0.00249562 -0.0354621  4.96954 -0.311159  
27.7403 0.00256101 -0.0354089  2.95797 -0.28401  0.0025798 -0.0353658  0.938254 -0.315733  3.41033e-05 -0.0355674  0.965442 -0.304509  4.55534e-05 -0.0355715  2.9564 -0.301299  -0.00249709 -0.0353888  4.97886 -0.30586  -0.00248458 -0.0353847  4.96947 -0.310493  
27.8031 0.00254982 -0.0353316  2.95798 -0.283455  0.00256849 -0.0352888  0.938325 -0.315047  3.40148e-05 -0.0354891  0.965427 -0.30387  4.54024e-05 -0.0354931  2.95639 -0.300674  -0.00248605 -0.0353117  4.97879 -0.305216  -0.00247361 -0.0353076  4.96941 -0.309829  
27.8659 0.0025387 -0.0352546  2.958 -0.282902  0.00255725 -0.0352122  0.938397 -0.314365  3.39262e-05 -0.0354111  0.965412 -0.303235  4.5252e-05 -0.0354151  2.95639 -0.300052  -0.00247508 -0.0352349  4.97872 -0.304575  -0.00246271 -0.0352309  4.96935 -0.309168  
27.9288 0.00252765 -0.0351779  2.95801 -0.282352  0.00254609 -0.0351359  0.938468 -0.313685  3.38377e-05 -0.0353335  0.965396 -0.302602  4.51021e-05 -0.0353374  2.95638 -0.299432  -0.00246418 -0.0351585  4.97865 -0.303937  -0.00245188 -0.0351545  4.96929 -0.308511  
27.9916 0.00251667 -0.0351016  2.95803 -0.281803  0.002535 -0.0350599  0.938538 -0.313008  3.37493e-05 -0.0352562  0.965381 -0.301972  4.49527e-05 -0.0352601  2.95638 -0.298815  -0.00245335 -0.0350823  4.97858 -0.303301  -0.00244112 -0.0350784  4.96923 -0.307855  
28.0544 0.00250576 -0.0350256  2.95804 -0.281257  0.00252398 -0.0349843  0.938608 -0.312334  3.36609e-05 -0.0351792  0.965366 -0.301344  4.48039e-05 -0.0351831  2.95637 -0.2982  -0.00244259 -0.0350065  4.97851 -0.302668  -0.00243044 -0.0350026  4.96917 -0.307203  
28.1173 0.00249493 -0.0349499  2.95805 -0.280712  0.00251303 -0.0349089  0.938678 -0.311663  3.35726e-05 -0.0351026  0.965351 -0.300719  4.46557e-05 -0.0351065  2.95636 -0.297588  -0.0024319 -0.034931  4.97844 -0.302037  -0.00241982 -0.0349271  4.96912 -0.306553  
28.1801 0.00248416 -0.0348745  2.95807 -0.28017  0.00250215 -0.0348339  0.938747 -0.310995  3.34843e-05 -0.0350263  0.965337 -0.300096  4.4508e-05 -0.0350301  2.95636 -0.296978  -0.00242128 -0.0348559  4.97837 -0.301409  -0.00240927 -0.034852  4.96906 -0.305906  
28.2429 0.00247346 -0.0347995  2.95808 -0.27963  0.00249134 -0.0347592  0.938816 -0.310329  3.33961e-05 -0.0349503  0.965322 -0.299476  4.43609e-05 -0.0349541  2.95635 -0.29637  -0.00241073 -0.034781  4.9783 -0.300784  -0.00239879 -0.0347772  4.969 -0.305262  
28.3057 0.00246283 -0.0347248  2.95809 -0.279092  0.0024806 -0.0346848  0.938884 -0.309666  3.3308e-05 -0.0348747  0.965307 -0.298858  4.42143e-05 -0.0348784  2.95635 -0.295766  -0.00240025 -0.0347065  4.97823 -0.300161  -0.00238838 -0.0347027  4.96894 -0.304621  
28.3686 0.00245227 -0.0346503  2.95811 -0.278556  0.00246993 -0.0346107  0.938952 -0.309007  3.32199e-05 -0.0347994  0.965293 -0.298243  4.40682e-05 -0.0348031  2.95634 -0.295163  -0.00238984 -0.0346323  4.97816 -0.299541  -0.00237803 -0.0346285  4.96888 -0.303982  
28.4314 0.00244177 -0.0345762  2.95812 -0.278022  0.00245933 -0.034537  0.939019 -0.30835  3.31319e-05 -0.0347244  0.965278 -0.297631  4.39227e-05 -0.034728  2.95634 -0.294563  -0.0023795 -0.0345584  4.9781 -0.298923  -0.00236776 -0.0345546  4.96883 -0.303345  
28.4942 0.00243134 -0.0345025  2.95813 -0.27749  0.0024488 -0.0344635  0.939086 -0.307695  3.3044e-05 -0.0346497  0.965264 -0.297021  4.37778e-05 -0.0346533  2.95633 -0.293966  -0.00236922 -0.0344848  4.97803 -0.298308  -0.00235754 -0.0344811  4.96877 -0.302712  
28.5571 0.00242098 -0.034429  2.95815 -0.276959  0.00243833 -0.0343904  0.939152 -0.307044  3.29562e-05 -0.0345753  0.96525 -0.296413  4.36334e-05 -0.0345789  2.95633 -0.29337  -0.002359 -0.0344115  4.97796 -0.297695  -0.0023474 -0.0344078  4.96871 -0.302081  
28.6199 0.00241068 -0.0343558  2.95816 -0.276431  0.00242793 -0.0343175  0.939218 -0.306395  3.28685e-05 -0.0345012  0.965236 -0.295808  4.34895e-05 -0.0345048  2.95632 -0.292778  -0.00234886 -0.0343385  4.9779 -0.297084  -0.00233731 -0.0343348  4.96866 -0.301452  
28.6827 0.00240045 -0.034283  2.95817 -0.275905  0.00241759 -0.034245  0.939284 -0.305749  3.27809e-05 -0.0344275  0.965222 -0.295205  4.33462e-05 -0.0344311  2.95632 -0.292187  -0.00233877 -0.0342658  4.97783 -0.296477  -0.0023273 -0.0342622  4.9686 -0.300826  
28.7456 0.00239028 -0.0342104  2.95819 -0.275381  0.00240732 -0.0341727  0.939349 -0.305105  3.26934e-05 -0.0343541  0.965208 -0.294605  4.32035e-05 -0.0343576  2.95631 -0.291599  -0.00232876 -0.0341934  4.97777 -0.295871  -0.00231734 -0.0341898  4.96855 -0.300203  
28.8084 0.00238018 -0.0341381  2.9582 -0.274859  0.00239712 -0.0341008  0.939413 -0.304464  3.2606e-05 -0.034281  0.965194 -0.294007  4.30613e-05 -0.0342844  2.9563 -0.291013  -0.0023188 -0.0341213  4.9777 -0.295268  -0.00230745 -0.0341178  4.96849 -0.299582  
28.8712 0.00237014 -0.0340662  2.95821 -0.274339  0.00238697 -0.0340291  0.939478 -0.303826  3.25187e-05 -0.0342081  0.96518 -0.293412  4.29196e-05 -0.0342116  2.9563 -0.29043  -0.00230891 -0.0340495  4.97764 -0.294668  -0.00229762 -0.034046  4.96844 -0.298964  
28.9341 0.00236016 -0.0339945  2.95822 -0.273821  0.0023769 -0.0339578  0.939541 -0.303191  3.24316e-05 -0.0341356  0.965167 -0.292819  4.27785e-05 -0.0341391  2.95629 -0.289849  -0.00229908 -0.0339781  4.97757 -0.29407  -0.00228786 -0.0339746  4.96839 -0.298348  
28.9969 0.00235024 -0.0339232  2.95824 -0.273304  0.00236688 -0.0338867  0.939605 -0.302558  3.23445e-05 -0.0340634  0.965153 -0.292228  4.26379e-05 -0.0340668  2.95629 -0.28927  -0.00228932 -0.0339069  4.97751 -0.293474  -0.00227815 -0.0339034  4.96833 -0.297735  
29.0597 0.00234039 -0.0338521  2.95825 -0.27279  0.00235693 -0.033816  0.939668 -0.301927  3.22576e-05 -0.0339915  0.96514 -0.29164  4.24979e-05 -0.0339949  2.95628 -0.288693  -0.00227961 -0.033836  4.97745 -0.292881  -0.00226851 -0.0338325  4.96828 -0.297124  
29.1226 0.0023306 -0.0337813  2.95826 -0.272278  0.00234704 -0.0337455  0.93973 -0.3013  3.21708e-05 -0.0339199  0.965126 -0.291053  4.23584e-05 -0.0339233  2.95628 -0.288119  -0.00226997 -0.0337653  4.97738 -0.29229  -0.00225893 -0.0337619  4.96823 -0.296516  
29.1854 0.00232087 -0.0337109  2.95827 -0.271767  0.00233721 -0.0336753  0.939793 -0.300674  3.20842e-05 -0.0338486  0.965113 -0.29047  4.22194e-05 -0.0338519  2.95627 -0.287547  -0.00226039 -0.033695  4.97732 -0.291701  -0.00224941 -0.0336917  4.96817 -0.29591  
29.2482 0.0023112 -0.0336407  2.95829 -0.271258  0.00232744 -0.0336054  0.939854 -0.300052  3.19976e-05 -0.0337776  0.9651 -0.289888  4.2081e-05 -0.0337809  2.95627 -0.286977  -0.00225087 -0.033625  4.97726 -0.291115  -0.00223995 -0.0336217  4.96812 -0.295307  
29.3111 0.00230158 -0.0335708  2.9583 -0.270751  0.00231774 -0.0335358  0.939916 -0.299432  3.19112e-05 -0.0337069  0.965086 -0.289309  4.19432e-05 -0.0337101  2.95626 -0.286409  -0.0022414 -0.0335552  4.9772 -0.290531  -0.00223054 -0.0335519  4.96807 -0.294706  
29.3739 0.00229203 -0.0335011  2.95831 -0.270246  0.00230809 -0.0334664  0.939977 -0.298814  3.1825e-05 -0.0336364  0.965073 -0.288732  4.18059e-05 -0.0336397  2.95626 -0.285844  -0.002232 -0.0334858  4.97714 -0.289949  -0.0022212 -0.0334825  4.96802 -0.294108  
29.4367 0.00228254 -0.0334318  2.95832 -0.269743  0.0022985 -0.0333974  0.940037 -0.298199  3.17389e-05 -0.0335663  0.96506 -0.288158  4.16691e-05 -0.0335695  2.95625 -0.285281  -0.00222266 -0.0334166  4.97708 -0.28937  -0.00221191 -0.0334133  4.96797 -0.293512  
29.4996 0.0022731 -0.0333627  2.95833 -0.269242  0.00228898 -0.0333286  0.940098 -0.297587  3.16529e-05 -0.0334965  0.965048 -0.287586  4.15329e-05 -0.0334997  2.95625 -0.28472  -0.00221337 -0.0333477  4.97702 -0.288793  -0.00220269 -0.0333445  4.96792 -0.292918  
29.5624 0.00226373 -0.033294  2.95835 -0.268743  0.00227951 -0.0332601  0.940157 -0.296977  3.15671e-05 -0.0334269  0.965035 -0.287015  4.13972e-05 -0.0334301  2.95624 -0.284161  -0.00220414 -0.0332791  4.97696 -0.288218  -0.00219352 -0.0332759  4.96787 -0.292326  
29.6252 0.00225441 -0.0332255  2.95836 -0.268245  0.0022701 -0.0331919  0.940217 -0.296369  3.14815e-05 -0.0333576  0.965022 -0.286448  4.1262e-05 -0.0333608  2.95624 -0.283604  -0.00219497 -0.0332107  4.9769 -0.287646  -0.0021844 -0.0332076  4.96782 -0.291737  
29.6881 0.00224515 -0.0331573  2.95837 -0.267749  0.00226074 -0.0331239  0.940276 -0.295764  3.1396e-05 -0.0332886  0.965009 -0.285882  4.11274e-05 -0.0332918  2.95623 -0.28305  -0.00218586 -0.0331427  4.97684 -0.287075  -0.00217534 -0.0331395  4.96777 -0.291151  
29.7509 0.00223594 -0.0330893  2.95838 -0.267255  0.00225145 -0.0330563  0.940335 -0.295162  3.13107e-05 -0.0332199  0.964997 -0.285319  4.09933e-05 -0.033223  2.95623 -0.282498  -0.0021768 -0.0330749  4.97678 -0.286507  -0.00216634 -0.0330718  4.96772 -0.290566  
29.8137 0.00222679 -0.0330217  2.95839 -0.266763  0.00224221 -0.0329889  0.940393 -0.294561  3.12255e-05 -0.0331515  0.964984 -0.284757  4.08597e-05 -0.0331546  2.95622 -0.281947  -0.0021678 -0.0330074  4.97672 -0.285941  -0.0021574 -0.0330043  4.96767 -0.289984  
29.8765 0.00221769 -0.0329543  2.9584 -0.266273  0.00223302 -0.0329217  0.940451 -0.293964  3.11405e-05 -0.0330834  0.964972 -0.284198  4.07267e-05 -0.0330864  2.95622 -0.281399  -0.00215885 -0.0329401  4.97666 -0.285378  -0.00214851 -0.032937  4.96762 -0.289405  
