0.0314159 0.517968 -0.0650785  2.38834 -0.0418452  0.506196 -0.0637019  0.344239 -0.0477799  -0.625855 -1.0641  0.50443 -0.100411  -0.622611 -1.07469  2.49737 -0.0988566  -0.302052 -0.126896  5.20099 -0.0504074  -0.301898 -0.126292  5.20602 -0.04748  
1.41372 0.196187 -0.232156  2.43913 -0.828814  0.191833 -0.227328  0.394543 -0.885229  -0.0109423 -0.33704  0.663736 -1.07817  -0.0109839 -0.335686  2.66488 -1.09007  -0.156018 -0.18814  5.19786 -1.08016  -0.154039 -0.188533  5.18498 -1.11153  
1.47655 0.188334 -0.230305  2.44292 -0.853575  0.184542 -0.225459  0.396784 -0.90753  -0.0101626 -0.32885  0.672386 -1.09477  -0.0104593 -0.327938  2.67566 -1.10303  -0.151859 -0.187888  5.20043 -1.09841  -0.1499 -0.188272  5.18667 -1.12987  
1.53938 0.181013 -0.228245  2.44556 -0.876956  0.177684 -0.223504  0.399116 -0.928856  -0.0094847 -0.32114  0.680951 -1.11028  -0.0100035 -0.320678  2.68625 -1.11445  -0.147887 -0.187524  5.20315 -1.11488  -0.145955 -0.18788  5.1889 -1.14638  
1.60221 0.174202 -0.226018  2.44699 -0.898859  0.171229 -0.221485  0.401532 -0.949231  -0.00889539 -0.313874  0.689443 -1.12469  -0.00959973 -0.31385  2.69659 -1.12452  -0.144093 -0.187065  5.20595 -1.12967  -0.142194 -0.187375  5.1916 -1.1612  
1.66504 0.167874 -0.223663  2.44721 -0.919215  0.165148 -0.21942  0.404019 -0.968674  -0.00838319 -0.307018  0.697869 -1.13801  -0.00923498 -0.307405  2.70664 -1.1334  -0.140465 -0.186524  5.20882 -1.14288  -0.138603 -0.186775  5.19468 -1.17447  
1.72788 0.161998 -0.221217  2.44628 -0.937982  0.159413 -0.217324  0.406568 -0.987199  -0.00793802 -0.300541  0.706235 -1.15021  -0.00889947 -0.301301  2.71636 -1.14125  -0.136995 -0.185914  5.2117 -1.15463  -0.13517 -0.186095  5.19805 -1.18633  
1.79071 0.156543 -0.218717  2.4443 -0.955136  0.154003 -0.215209  0.409168 -1.00482  -0.007551 -0.294417  0.714541 -1.16131  -0.00858588 -0.295504  2.72573 -1.14819  -0.133672 -0.185247  5.21455 -1.165  -0.131886 -0.185351  5.20161 -1.19689  
1.85354 0.151476 -0.216191  2.44142 -0.970669  0.148893 -0.213086  0.41181 -1.02154  -0.00721426 -0.288618  0.722786 -1.17129  -0.00828883 -0.289983  2.73472 -1.15432  -0.130485 -0.18453  5.21735 -1.1741  -0.128738 -0.184554  5.20525 -1.20626  
1.91637 0.146765 -0.213668  2.43781 -0.984592  0.144064 -0.210964  0.414484 -1.03737  -0.00692084 -0.283122  0.730964 -1.18017  -0.00800447 -0.284715  2.74334 -1.15974  -0.127426 -0.183772  5.22005 -1.18203  -0.125716 -0.183715  5.20887 -1.21453  
1.9792 0.142377 -0.211169  2.43365 -0.996925  0.139497 -0.208851  0.417184 -1.05232  -0.00666458 -0.277905  0.739069 -1.18797  -0.00773013 -0.279676  2.75158 -1.16452  -0.124486 -0.182981  5.22261 -1.18888  -0.122812 -0.182845  5.21239 -1.2218  
2.04204 0.138282 -0.208713  2.42914 -1.0077  0.135174 -0.206752  0.419903 -1.0664  -0.00644003 -0.272949  0.747091 -1.19471  -0.00746402 -0.27485  2.75943 -1.16873  -0.121656 -0.18216  5.22502 -1.19475  -0.120016 -0.18195  5.21574 -1.22813  
2.10487 0.134451 -0.206314  2.42447 -1.01697  0.131079 -0.204673  0.422636 -1.07961  -0.00624238 -0.268233  0.75502 -1.20042  -0.00720502 -0.270219  2.76691 -1.17241  -0.118929 -0.181317  5.22724 -1.1997  -0.11732 -0.181037  5.21884 -1.23359  
2.1677 0.130858 -0.203984  2.41981 -1.02479  0.127196 -0.202617  0.425379 -1.09197  -0.00606744 -0.26374  0.762845 -1.20514  -0.00695248 -0.26577  2.77403 -1.17561  -0.116298 -0.180453  5.22926 -1.20383  -0.114718 -0.180111  5.22164 -1.23826  
2.23053 0.127477 -0.20173  2.41534 -1.03121  0.123511 -0.200589  0.42813 -1.1035  -0.00591151 -0.259453  0.770555 -1.2089  -0.00670611 -0.26149  2.78079 -1.17835  -0.113755 -0.179573  5.23106 -1.2072  -0.112203 -0.179176  5.2241 -1.24218  
