2.104867077905 0.1344511832722 -0.2063139077706   0.1310786024742 -0.204672809903   -0.006242381502306 -0.2682328181199   -0.007205016582177 -0.2702189484108   -0.1189291902375 -0.1813166367289   -0.1173200831448 -0.1810365392872   
2.167698930977 0.1308579145037 -0.2039838741762   0.127195799257 -0.2026173016979   -0.006067437240889 -0.2637395780621   -0.006952478177001 -0.2657697769781   -0.1162976691824 -0.1804531764527   -0.1147179020694 -0.1801106402755   
2.230530784049 0.1274771344954 -0.2017304872974   0.1235113908522 -0.2005889471147   -0.005911511673131 -0.2594525671745   -0.006706108514258 -0.2614900067705   -0.1137553295011 -0.1795733046683   -0.1122026266287 -0.1791761534451   
2.293362637121 0.1242861191773 -0.1995590321272   0.120012193498 -0.1985904214635   -0.005771402074671 -0.2553564556185   -0.006465845458637 -0.2573687091833   -0.1112963212187 -0.1786797083412   -0.1097684500192 -0.1782363511104   
2.356194490192 0.1212642682784 -0.1974724408186   0.116685922839 -0.1966238027755   -0.00564433648751 -0.2514370409102   -0.006231777955409 -0.2533961123016   -0.1089153527104 -0.1777745841837   -0.1074101700831 -0.1772937290279   
2.419026343264 0.1183930527542 -0.1954716612173   0.113521130959 -0.1946906533251   -0.005527929461451 -0.2476811864329   -0.006004083010341 -0.2495634114496   -0.106607652816 -0.1768597217458   -0.1051231376545 -0.1763501312895   
2.481858196336 0.1156559263474 -0.1935560019292   0.1105071500286 -0.1927920909725   -0.005420141041311 -0.2440767619819   -0.005782979040084 -0.245862616504   -0.1043689301027 -0.1759365758785   -0.1029032047493 -0.175406863416   
2.544690049408 0.1130382127939 -0.1917234483426   0.1076340409383 -0.1909288518321   -0.005319238800753 -0.2406125857335   -0.00556869212 -0.2422864289687   -0.1021953310206 -0.175006329274   -0.1007466739051 -0.1744647931505   
2.60752190248 0.1105269769884 -0.1899709466867   0.1048925464538 -0.1891013454612   -0.005223762850577 -0.2372783673978   -0.005361432389413 -0.2388281430114   -0.100083398416 -0.1740699459073   -0.09865024983415 -0.1735244390232   
2.670353755551 0.1081108876502 -0.1882946551767   0.1022740477219 -0.1873097035321   -0.005132493688783 -0.2340646525433   -0.0051613782971 -0.2354815656941   -0.09803003129722 -0.1731282162591   -0.09661099391171 -0.1725860471544   
2.733185608623 0.105780076518 -0.1866901627025   0.09977052397007 -0.1855538227791   -0.005044422820504 -0.2309627682114   -0.004968666886807 -0.2322409525129   -0.09603244661003 -0.1721817952068   -0.09462628201234 -0.1716496570288   
2.796017461695 0.1035259984806 -0.1851526764872   0.09737451474073 -0.1838334028835   -0.00495872601636 -0.2279647700042   -0.004783388631926 -0.2291009550956   -0.09408814343049 -0.1712312334501   -0.09269376584127 -0.1707151571237   
2.858849314767 0.1013412956131 -0.1836771807718   0.09507908441015 -0.1821479798559   -0.004874739092008 -0.2250633908456   -0.004605585643661 -0.2260565785225   -0.09219486982697 -0.1702770032904   -0.09081133779973 -0.1697823313565   
2.921681167839 0.09921966733612 -0.1822585689527   0.09287778875212 -0.1804969554044   -0.004791936078353 -0.2222519916137   -0.004435252334308 -0.2231031462379   -0.09035059254572 -0.1693195195269   -0.08897709937212 -0.1688508973376   
2.98451302091 0.09715574808146 -0.1808917517755   0.09076464341454 -0.1788796227112   -0.004709909630676 -0.219524513813   -0.004272337790877 -0.2202362709366   -0.08855346950276 -0.1683591561665   -0.08718933286514 -0.1679205373971   
3.047344873982 0.0951449935609 -0.179571744233   0.08873409400765 -0.1772951889936   -0.00462835353654 -0.2168754344277   -0.004116749303844 -0.2174518301419   -0.08680182503769 -0.167396259575   -0.08544647632707 -0.1669909233114   
3.110176727054 0.09318357591789 -0.1782937337533   0.08678098789873 -0.1757427951844   -0.004547047160651 -0.2142997230565   -0.003968356602092 -0.2147459454675   -0.0850941278127 -0.1664311586326   -0.08374710144052 -0.166061735593   
3.173008580126 0.0912682880743 -0.1770531321404   0.08490054744841 -0.174221533032   -0.004465841682513 -0.2117928013972   -0.003826996467528 -0.2121149647693   -0.0834289711995 -0.165464172387   -0.08208989413481 -0.165132678137   
3.235840433197 0.08939645707532 -0.1758456135636   0.08308834472926 -0.1727304598916   -0.004384647972752 -0.2093505051134   -0.003692477482395 -0.2095554465726   -0.08180505599875 -0.1644956156378   -0.08047363771278 -0.1642034889435   
3.298672286269 0.08756586623522 -0.1746671407016   0.0813402775725 -0.1712686114535   -0.004303425965077 -0.2069690480854   -0.003564584721634 -0.2070641462937   -0.08022117528789 -0.1635258028298   -0.07889719821612 -0.1632739475564   
3.361504139341 0.08577468552215 -0.1735139809446   0.07965254704436 -0.1698350126292   -0.004222175385992 -0.2046449890202   -0.003443084268839 -0.2046380038875   -0.07867620123694 -0.1625550505777   -0.07735951184761 -0.1623438797891   
3.424335992413 0.08402140994561 -0.1723827143572   0.07802163605213 -0.1684286868004   -0.00414092770356 -0.2023752003756   -0.003327727457461 -0.2022741326393   -0.07716907367309 -0.1615836790992   -0.07585957417544 -0.1614131602339   
3.487167845485 0.08230480509173 -0.1712702349058   0.07644428932329 -0.1670486636108   -0.004059739182434 -0.2001568395305   -0.003218254793671 -0.1999698088829   -0.07569879025144 -0.1606120127933   -0.07439643097391 -0.160481712989   
3.549999698556 0.08062385954337 -0.1701737462703   0.07491749444208 -0.1656939854692   -0.003978684915698 -0.1979873221236   -0.003114399515979 -0.1977224624832   -0.07426439803178 -0.1596403801591   -0.07296917046304 -0.1595495109758   
3.612831551628 0.07897774333071 -0.1690907533829   0.07343846413204 -0.1643637129137   -0.003897853737897 -0.1958642974682   -0.003015890784974 -0.1955296679595   -0.0728649863156 -0.1586691132229   -0.07157691679625 -0.1586165741656   
